title|file|line|section|speaker|role|liwcScores-Achiev|liwcScores-Adverbs|liwcScores-Affect|liwcScores-Anger|liwcScores-Anx|liwcScores-Article|liwcScores-Assent|liwcScores-AuxVb|liwcScores-Bio|liwcScores-Body|liwcScores-Cause|liwcScores-Certain|liwcScores-CogMech|liwcScores-Conj|liwcScores-Death|liwcScores-Discrep|liwcScores-Excl|liwcScores-Family|liwcScores-Feel|liwcScores-Filler|liwcScores-Friends|liwcScores-Funct|liwcScores-Future|liwcScores-Health|liwcScores-Hear|liwcScores-Home|liwcScores-Humans|liwcScores-I|liwcScores-Incl|liwcScores-Ingest|liwcScores-Inhib|liwcScores-Insight|liwcScores-Ipron|liwcScores-Leisure|liwcScores-Money|liwcScores-Motion|liwcScores-Negate|liwcScores-Negemo|liwcScores-Nonflu|liwcScores-Numbers|liwcScores-Past|liwcScores-Percept|liwcScores-Posemo|liwcScores-Ppron|liwcScores-Prep|liwcScores-Present|liwcScores-Pronoun|liwcScores-Quant|liwcScores-Relativ|liwcScores-Relig|liwcScores-Sad|liwcScores-See|liwcScores-Sexual|liwcScores-SheHe|liwcScores-Social|liwcScores-Space|liwcScores-Swear|liwcScores-Tentat|liwcScores-They|liwcScores-Time|liwcScores-Verbs|liwcScores-We|liwcScores-Work|liwcScores-You|liwcScores-total-sentences|liwcScores-total-words|statement
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|0|R0|PREAMBLE|moderator|0|2|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|2|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|1|5|Obamacare is now beyond rescue
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|1|R0|JOHN DONVAN|moderator|0|3|1|0|0|4|0|7|0|0|2|0|12|3|0|0|0|0|0|0|0|35|0|0|0|0|0|2|3|0|0|0|5|0|3|3|0|0|0|0|0|0|1|7|8|8|12|1|6|0|0|0|0|0|6|2|0|2|0|0|10|3|0|0|6|67|And to introduce the gentleman who makes Intelligence Squared U.S. possible, Mr. Robert Rosenkranz. Thanks, Bob. All right, Bob. So normally I -- the question is why are we doing this debate now? And that's pretty obvious, so I'm going to move in a different direction somewhat tonight. Since we're doing a debate about -- essentially about health insurance, as it turns out insurance is your business.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|2|R0|ROBERT ROSENKRANZ|moderator|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|It's my day job.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|3|R0|JOHN DONVAN|moderator|0|11|1|0|0|19|0|22|0|0|7|0|31|18|0|1|7|0|0|0|0|136|1|0|0|0|0|1|6|0|0|5|19|0|13|10|3|0|0|0|1|2|1|20|27|33|39|7|25|0|0|2|0|1|22|9|0|5|8|1|37|2|2|7|10|234|It's your day job, and so we want to take advantage of that and just take a minute or two, a little insurance economics 101, to talk to us about, you know, not from the point of view of the consumer who does know their experience of insurance, they pay for it, they pay a premium, they got their coverage, from the other side, how does the business look at it? Robert Rosenkranz Okay. Let me start with an analogy. If you go to buy a car, the car dealer knows exactly what that car cost him and, therefore, can charge you a price that reflects that cost plus profit. When you're buying car insurance, the insurance company does not know how much it's going to cost, how many accidents you might have or what the cost is fixing them. So the insurance company is setting a price tag, but they have to make an intelligent guess about what their future losses are going to be. And in the case of car insurance, for example, an intelligent guess is that young drivers are going to have more accidents, that cars that are poorly maintained are going to have more accidents, et cetera, et cetera. And the pricing reflects that. Young drivers pay higher premiums because historically they are not as good at, say, driving. So how does health insurance work in that sense ?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|4|R0|ROBERT ROSENKRANZ|moderator|1|1|5|0|0|6|0|8|0|0|1|0|14|5|0|3|0|0|0|0|0|46|1|0|0|0|0|0|3|0|0|2|5|0|2|1|0|0|0|0|1|1|5|3|12|7|9|5|6|0|0|1|0|0|6|2|0|1|0|3|12|1|2|2|4|84|Well, it works in a kind of odd and perverse way, because we have as a matter of public policy wanted to see that everybody pays the same premium for health insurance. But there are obvious differences. I mean, health insurance is going to cost much more for older people than it costs for younger people. So by having this idea that everybody should be paying the same, you're in effect having young people overpay a lot and older people get a great bargain.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|5|R0|JOHN DONVAN|moderator|0|3|3|0|0|4|0|6|0|0|0|0|5|2|0|0|0|0|0|0|0|29|0|0|0|0|0|3|2|0|0|1|7|0|0|2|0|0|0|0|0|1|3|3|6|10|10|3|8|0|0|1|0|0|0|3|0|0|0|0|10|0|0|0|2|43|Now, there's a term that I think is important, and I'm sure it's going to come up tonight in this health care process of adverse selection, which is something that the business side sees as a bit of a nightmare. What is that?
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|6|R0|ROBERT ROSENKRANZ|moderator|0|0|3|0|0|6|0|8|0|0|1|0|9|4|0|2|2|0|0|1|0|31|1|0|0|0|0|0|0|0|0|2|1|0|2|1|1|0|0|0|0|0|3|5|7|9|6|0|6|0|0|0|0|0|8|3|0|2|0|2|10|0|1|5|1|53|Well, the idea is as an insurance company you want to underwriteor set your price based on what you think are the characteristics of a large group of people, can't predict when John Donvan's going to have an accident, but you can predict whether hundreds of people like you might have an accident.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|7|R0|JOHN DONVAN|moderator|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|5|And it's a set group.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|8|R0|ROBERT ROSENKRANZ|moderator|0|9|11|0|0|18|0|27|7|0|0|0|31|12|0|7|8|0|0|1|0|139|5|7|0|0|0|1|2|0|0|5|27|4|9|4|3|1|1|0|3|0|9|9|34|23|38|4|23|0|0|0|0|0|16|9|0|5|3|7|33|0|3|5|9|226|Well, that's kind of the point, is that a group of young people is going to have a different experience than a group of old people. And a group of sick people is going to have a very different experience than a group of well people. So as an insurance company you're providing insurance for individuals, you have to be sure or at least have a good reason to think that the individuals who show up to sign up for this insurance are a representative sample, that you're not just getting the bad risks. And that's why, for example, this idea of preexisting conditions, which sounds kind of cruel, that insurance companies would evaluate coverage for my preexisting condition. But if they didn't have that rule, nobody would buy health insurance except when they get sick and then they rush to buy it. So taking that idea to the rollout here of Obamacare, part of the implication of difficulties of signing up is that the people who are most motivated, mainly older and sicker people, will run that gauntlet. The people who need the insurance less are finding it overpriced, like young healthy people, will not go to that trouble. And that's what's meant by adverse selection. And if I were the insurance companies on these exchanges I would be very worried about that right now.
Obamacare is now beyond rescue|i2Debates/011514 obamacare.p|9|R0|JOHN DONVAN|moderator|0|5|2|0|0|7|0|6|0|0|2|0|8|2|0|0|1|0|0|1|0|58|0|0|1|0|0|4|0|0|0|1|6|0|0|4|0|0|0|1|1|1|2|14|13|8|21|3|11|0|0|0|0|0|10|1|0|1|0|4|11|5|0|3|6|88|Well, it's a term we're going to be hearing in the debate tonight. And you've given us some good 101 basics to help understand it. Thank you very much, Bob Rosenkranz. And let's bring our debaters to the stage. So several times throughout the evening I'm going to again for the sake of the radio broadcast request your entirely spontaneous applause. And this is one of those times, but I'd actually like to make it a round of applause, again, for Bob Rosenkranz for bringing this to us.
